Title,Source,SourceLevel,Deadline,Status,Score,MatchedKeywords,Url,Summary,FirstSeen,LastSeen
"28Digital Open Innovation Factory Expression of Interest","28Digital / EIT Digital","EU-backed startup matching / continuous","","continuous",14,"28digital, open innovation factory, expression of interest, eu funding, cascade funding, malta, serbia, slovenia, startup","https://28digital.eu/open-innovation-factory","Year-round gateway for digital startups to access curated matches to EU funding calls, cascade funding schemes, corporate co-creation projects, market access, mentoring, investment opportunities and high-impact innovation services. Countries listed in the intake include Malta, Serbia and Slovenia.","2026-07-08 16:00:00Z","2026-07-08 16:00:00Z"
"Slovene Enterprise Fund public calls and tenders","Slovene Enterprise Fund","Slovenia national / SME grants and finance","","monitoring",14,"slovenia, slovene enterprise fund, sps, sme, startup, grants, guarantees, vouchers, monitoring","https://www.podjetniskisklad.si/en/tenders/","Primary Slovenia SME support route for grants, seed/startup incentives, guarantees, microloans and development incentives. Best used as a monitoring source for a Slovenian company because calls are programme-specific and periodic. Particularly relevant for startup incentives, vouchers, guarantees, digitalisation and development-oriented SME finance.","2026-07-08 15:00:00Z","2026-07-08 15:00:00Z"
"UNITE digital health startup programme","28Digital / EIT Digital","EU-backed startup programme","","upcoming",14,"28digital, digital health, eu-backed, grant, malta, serbia potential, startup, unite, upcoming","https://28digital.eu/open-innovation-factory","Upcoming EU-backed programme listed by 28Digital for digital health startups addressing ageing populations and demographic challenges. Listed grant range is EUR 200,000 to EUR 1,000,000, with application marked as coming up. Add to watchlist for Malta/Serbia digital health startups and check the official UNITE page when the call opens.","2026-07-08 14:00:00Z","2026-07-08 14:00:00Z"
"Katalitik co-investing grant for AI startups","Innovation Fund Serbia","Serbia national / EU-World Bank SAIGE","","rolling",13,"serbia, innovation fund, katalitik, ai startup, co-investing grant, prototype, saige, investment","https://www.inovacionifond.rs/cir/info/ai-startapi-u-fokusu","Open Serbian Innovation Fund AI startup route under the Catalytic co-investing grant programme. It targets micro and small enterprises registered in Serbia, majority-owned by the founding team, up to 10 years old, with an AI prototype and investment contracts ready. Non-refundable support is up to EUR 200,000 and requires external investment at least equal to the requested grant, with minimum qualifying investment of EUR 50,000. Applications are reviewed in cycles every 3-4 months until the EUR 7.4M budget is spent.","2026-07-11 11:00:00Z","2026-07-11 11:00:00Z"
"Euroclusters open calls monitoring","European Cluster Collaboration Platform","EU Euroclusters / SME cascade funding","","monitoring",13,"euroclusters, cluster collaboration, open call, sme, voucher, grant, cascade funding","https://clustercollaboration.eu/open-calls","European Cluster Collaboration Platform route for Euroclusters and cluster-led SME open calls. Strong monitoring source for vouchers, small grants, internationalisation support, resilience, green and digital transition, supply-chain projects and sector-specific SME support. Use with the Malta or Slovenia company when EU-only eligibility applies; use Serbia where the specific Eurocluster call allows wider participation.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"Eureka open calls monitoring","Eureka","European and global SME R&D","","monitoring",13,"eureka, eurostars, globalstars, network projects, sme, international r&d, grant","https://www.eurekanetwork.org/open-calls/","Eureka open calls include Eurostars, Globalstars, Network Projects and thematic bilateral/multilateral calls. This is one of the best non-EU-only European SME R&D routes because it can combine Malta, Slovenia, Serbia and non-EU partners depending on national rules. Use it for market-oriented R&D consortia with clear commercial outputs.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"SID Bank Slovenia SME, export, innovation and green finance","SID Bank","Slovenia development bank / finance route","","monitoring",13,"slovenia, sid bank, sme finance, export finance, innovation, green transition, guarantees, insurance","https://www.sid.si/en","Slovenian promotional development and export bank route. It provides long-term direct and indirect financing, guarantees, export and investment insurance, and development-oriented instruments for SMEs, internationalisation, innovation, green transition and infrastructure. This is finance/insurance rather than a classic grant, but useful for a Slovenian company preparing co-financing or export/investment projects.","2026-07-08 15:00:00Z","2026-07-08 15:00:00Z"
"RVO DHI - Demonstration, Feasibility and Investment Preparation","Netherlands Enterprise Agency (RVO)","Netherlands state / Dutch entity or partner","","monitoring",13,"netherlands, rvo, dhi, feasibility study, demonstration project, investment preparation, sme, dutch partner","https://english.rvo.nl/subsidies-financing/dhi","Dutch government subsidy route for Dutch companies or consortia preparing demonstration projects, feasibility studies or investment preparation in foreign markets. Relevant if a Dutch partner or Dutch entity is involved in a Serbia/Malta-facing project. Strong fit for market entry, pilots and investment preparation rather than pure R&D.","2026-07-08 13:00:00Z","2026-07-08 13:00:00Z"
"Serbia NGO as dissemination and IT support partner","Serbia NGO / Dissemination Partner","Serbia NGO / IT support and dissemination","","monitoring",12,"serbia ngo, dissemination, civil society, it support, digital skills, community outreach, partner","https://euresurscentar.bos.rs/","Strategic route for using the Serbian NGO as a dissemination, community outreach, stakeholder engagement, digital skills, training and IT support partner in EU and donor-funded projects. The NGO can strengthen proposals where calls require civil society engagement, end-user communities, awareness, workshops, digital inclusion, media/digital literacy, cyber hygiene or open-source/community dissemination.","2026-07-09 07:00:00Z","2026-07-09 07:00:00Z"
"EUIPO SME Fund IP vouchers monitoring","EUIPO","EU SME IP voucher","","monitoring",12,"euipo, sme fund, ip voucher, trade mark, design, patent, sme","https://www.euipo.europa.eu/en/sme-corner/sme-fund","EUIPO SME Fund is a practical direct SME voucher route for intellectual-property costs such as trade marks, designs, patents and IP Scan services. Use immediately for Malta or Slovenia companies, and check whether the Serbia company can use equivalent national/IP routes. Strong fit before AID4SME/EIC/Eurostars submissions if brand, design or patent protection should be prepared.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"Innowwide market feasibility grants monitoring","Eureka Innowwide","European SME market feasibility grants","","monitoring",12,"innowwide, eureka, sme, market feasibility, internationalisation, grant, monitoring","https://www.eurekanetwork.org/programmes-and-calls/innowwide/","Eureka Innowwide is a highly relevant SME route for market feasibility projects with an international target market. Monitor for future calls because it can be a lighter first step before a larger Eurostars/Eureka project, especially when testing US, Canada, UK, Gulf, Asia or Western Balkans market entry with a local partner.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"LIFE programme calls monitoring","LIFE Programme","EU climate and environment grants","","monitoring",12,"life, climate, environment, circular economy, clean energy transition, sme, grant","https://cinea.ec.europa.eu/programmes/life/life-calls-proposals_en","EU LIFE route for environment, nature, circular economy, climate mitigation/adaptation and clean-energy-transition projects. Strong for pilots and deployment with measurable environmental impact. SMEs can participate directly or in consortia; eligibility and co-financing depend on the sub-programme and country status.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"Digital Europe Programme funding monitoring","Digital Europe Programme","EU digital deployment grants","","monitoring",12,"digital europe, ai, data, cybersecurity, cloud, digital skills, sme, grant","https://digital-strategy.ec.europa.eu/en/funding","EU deployment-oriented digital funding route for AI, data spaces, cloud/edge, cybersecurity, advanced digital skills, digital public services and European Digital Innovation Hubs. SMEs often participate as technology providers, pilot partners or beneficiaries through hubs rather than as single applicants.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"FINEX cleantech experimentation and regulatory support","28Digital / EIT Digital","EU-backed cleantech support / continuous","","continuous",12,"28digital, cleantech, finex, testbed, regulatory support, fundraising support, continuous, sme, startup","https://28digital.eu/open-innovation-factory","Continuous 28Digital-listed route for cleantech solutions, experimentation practices, networks and supporting regulatory frameworks. It is not shown as a fixed-deadline grant, but it can be useful for cleantech SMEs/startups seeking testbed, regulatory and fundraising support.","2026-07-08 16:00:00Z","2026-07-08 16:00:00Z"
"SPIRIT Slovenia public tenders for companies","SPIRIT Slovenia","Slovenia national / business development","","monitoring",12,"slovenia, spirit slovenia, public tenders, internationalisation, exports, innovation, sme, monitoring","https://www.spiritslovenia.si/en/tenders","Monitoring route for Slovenian public tenders supporting entrepreneurship, internationalisation, investment promotion, exports, innovation and competitiveness. Relevant for the Slovenian company when calls open for market entry, export promotion, fair participation, digitalisation or development projects.","2026-07-08 15:00:00Z","2026-07-08 15:00:00Z"
"Swiss Eurostars / Eureka route via Innosuisse","Innosuisse / Eureka","Switzerland state / Swiss SME partner","","monitoring",12,"switzerland, innosuisse, eurostars, eureka, international r&d, sme, consortium","https://www.innosuisse.ch/inno/en/home/promotion-of-international-projects/eurostars.html","Swiss national funding route for Swiss partners in international SME-led R&D projects under Eurostars/Eureka. Relevant if a Swiss SME or research partner joins a consortium with the Malta or Serbia company. Use alongside Malta Eurostars and Serbia innovation routes when structuring a consortium.","2026-07-08 13:00:00Z","2026-07-08 13:00:00Z"
"CASSINI Business Accelerator monitoring","CASSINI","EU space startup accelerator","","monitoring",11,"cassini, eu space, accelerator, startup, space-enabled, voucher, monitoring","https://www.cassini.eu/accelerator/","EU space entrepreneurship route for growth-stage space and space-enabled startups. The accelerator is a strong fit for companies using satellite data, GNSS, earth observation, secure connectivity, mobility/logistics, climate-risk analytics or infrastructure monitoring. Use with Malta or Slovenia entity where EU startup eligibility is required.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"CELTIC-NEXT Eureka cluster calls monitoring","CELTIC-NEXT","Eureka ICT cluster / European R&D","","monitoring",11,"celtic-next, eureka cluster, ict, communications, sme, consortium","https://www.celticnext.eu/call-information/","Eureka cluster route for next-generation communications, ICT, data, software, services, networks, cyber-physical systems and digital platforms. Good for international industrial R&D consortia where Malta, Slovenia, Serbia and future USA/UK partners can be positioned according to national funding rules.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"Cluster Submission Platform open calls monitoring","Cluster Submission Platform","EU Euroclusters / SME application platform","","monitoring",11,"cluster submission platform, euroclusters, sme, voucher, open call, application platform","https://clustersubmissionplatform.eu/","Application platform used by many Euroclusters and EU project-run SME calls. Track it as a second radar next to the Cluster Collaboration Platform because some SME voucher calls appear first on the submission platform. Good for direct SME applications, especially through Malta or Slovenia.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"SBIR.gov federal SBIR/STTR monitoring","SBIR.gov","USA federal SBIR/STTR gateway","","monitoring",11,"usa, sbir, sttr, small business, federal grants, monitoring","https://www.sbir.gov/","Central US federal gateway for Small Business Innovation Research and Small Business Technology Transfer opportunities. Use it as the master search layer across agencies. Relevant once a US small-business structure is ready; before that, use it for topic intelligence, timing and partner targeting.","2026-07-08 18:10:00Z","2026-07-08 18:10:00Z"
"DIU Commercial Solutions Openings monitoring","Defense Innovation Unit","USA defense commercial solutions","","monitoring",11,"usa, defense innovation unit, diu, commercial solutions opening, dual-use, prototype, monitoring","https://www.diu.mil/solutions/portfolio","Defense Innovation Unit route for commercial technology prototypes and procurement through Commercial Solutions Openings. Especially relevant for dual-use products with commercial traction in AI, cyber, autonomy, energy, logistics, sensing, space and software. DIU states it works with US and international vendors from allied countries; each problem statement still needs eligibility review.","2026-07-08 18:10:00Z","2026-07-08 18:10:00Z"
"Horizon Europe associated-country partner expansion route","EU Horizon Europe Association","EU / associated-country partner route","","monitoring",11,"horizon europe, associated countries, canada, korea, serbia, uk, switzerland, consortium, monitoring","https://research-and-innovation.ec.europa.eu/strategy/strategy-research-and-innovation/europe-world/international-cooperation/association-horizon-europe_en","Strategic partner-search route: the EU lists associated countries including Canada, Korea, New Zealand, Switzerland, Serbia, United Kingdom and others, allowing entities from associated countries to participate in Horizon Europe actions on broadly comparable terms to EU entities. This is useful for adding UK, Canada, Swiss, Korean or New Zealand partners to EU consortia alongside Malta, Slovenia and Serbia.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"Slovenia EU Cohesion and Recovery funds monitoring","Slovenia / EU Cohesion Funds","Slovenia EU funds monitoring","","monitoring",11,"slovenia, eu cohesion funds, recovery funds, sme, digitalisation, green transition, monitoring","https://evropskasredstva.si/","Monitoring route for Slovenian EU-funded public calls under cohesion, recovery, digital, green and competitiveness programmes. Relevant for a Slovenian company because national calls often use EU cohesion or recovery funds and may target SMEs, digitalisation, energy efficiency, R&D, skills or investment.","2026-07-08 15:00:00Z","2026-07-08 15:00:00Z"
"Dutch Good Growth Fund (DGGF)","Netherlands Enterprise Agency (RVO)","Netherlands state / finance route","","monitoring",11,"netherlands, rvo, dggf, sme finance, export finance, investment, dutch partner","https://english.rvo.nl/subsidies-financing/dutch-good-growth-fund-dggf","Dutch government-backed finance route for Dutch SMEs doing business in emerging markets and for local SME finance through investment funds. Not a classic grant, but relevant for export, investment and local SME finance where a Dutch partner/entity is present. Needs country and instrument check for Serbia-specific applicability.","2026-07-08 13:00:00Z","2026-07-08 13:00:00Z"
"Swedish Eurostars / Eureka route via Vinnova","Vinnova / Eureka","Sweden state / Swedish SME partner","","monitoring",11,"sweden, vinnova, eurostars, eureka, international r&d, sme, consortium","https://www.vinnova.se/en/calls-for-proposals/","Swedish state innovation funding route for Swedish partners in international R&D and innovation consortia. Relevant when a Swedish SME or research partner can join the Malta or Serbia company in Eurostars/Eureka-style projects. Monitor Vinnova calls and Eurostars cut-offs.","2026-07-08 13:00:00Z","2026-07-08 13:00:00Z"
"EU Resource Centre Serbia civil society calls monitoring","EU Resource Centre Serbia","Serbia NGO / EU civil society support","","monitoring",10,"serbia, ngo, civil society, eu resource centre, digital transformation, dissemination","https://euresurscentar.bos.rs/","Monitoring route for Serbian civil society grants, capacity-building calls, trainings and EU-funded support relevant to NGOs. Use for the Serbian NGO when projects include IT support for civil society, digital transformation of NGOs, public outreach, civic tech, digital inclusion or dissemination work packages.","2026-07-09 07:00:00Z","2026-07-09 07:00:00Z"
"European Digital Innovation Hubs services monitoring","European Digital Innovation Hubs","EU digital transformation services for SMEs","","monitoring",10,"edih, european digital innovation hubs, sme, test before invest, ai, cybersecurity","https://european-digital-innovation-hubs.ec.europa.eu/home","EDIH route for test-before-invest, digital maturity assessment, AI/cyber/HPC support, training, funding guidance and access to ecosystem services. Often not a cash grant, but highly useful for SMEs preparing AI, cybersecurity, automation or digital transformation pilots in Malta, Slovenia or Serbia through local hubs.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"ITEA Eureka cluster calls monitoring","ITEA","Eureka software-intensive systems R&D","","monitoring",10,"itea, eureka cluster, software, ai, digital twins, sme, consortium","https://www.itea4.org/call.html","Eureka cluster route for software innovation and software-intensive systems. Useful for AI platforms, industrial software, digital twins, cyber-physical systems, embedded software and large collaborative R&D projects. Funding depends on national agencies for each partner.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"ECCC cybersecurity funding opportunities monitoring","European Cybersecurity Competence Centre","EU cybersecurity funding","","monitoring",10,"eccc, cybersecurity, digital europe, cyber, sme, funding, monitoring","https://cybersecurity-centre.europa.eu/funding-opportunities_en","EU cybersecurity funding radar around Digital Europe and European Cybersecurity Competence Centre priorities. Relevant for cyber tools, SOC/incident response, SME security, data protection, secure AI, critical infrastructure and dual-use cyber products. Usually EU or consortium route.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"EIT Digital Open Innovation Factory monitoring","EIT Digital","EU-backed digital startup programme","","monitoring",10,"eit digital, open innovation factory, digital, startup, scaleup, ai, cybersecurity","https://www.eitdigital.eu/open-innovation-factory/","EIT Digital route for digital deep-tech ventures, scaleups and innovation activities. Monitor for calls around AI, cybersecurity, digital industry, digital cities, fintech, wellbeing, data and European market scaling. Good fit for Malta or Slovenia company where EU incorporation helps.","2026-07-08 19:15:00Z","2026-07-08 19:15:00Z"
"EU Innovation Fund clean-tech monitoring","Innovation Fund","EU climate-tech scale-up funding","","monitoring",10,"innovation fund, clean tech, decarbonisation, climate, manufacturing, scale-up, grant","https://cinea.ec.europa.eu/programmes/innovation-fund_en","Large EU route for highly innovative low-carbon technologies, clean tech manufacturing, industrial decarbonisation, renewable energy, energy storage and carbon management. Usually heavier than SME cascade funding, but relevant if the project becomes a capital-intensive climate-tech scale-up through the Slovenia or Malta company or an EU consortium.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"EU4Health and HaDEA calls monitoring","HaDEA","EU health grants","","monitoring",10,"hadea, eu4health, health, digital health, consortium, grant, monitoring","https://hadea.ec.europa.eu/calls-proposals_en","HaDEA manages EU4Health and other health/digital/industry calls. Relevant for digital health, medical data, public health, cancer, health systems, cybersecurity in health and cross-border pilots. Usually consortium-heavy, but a good route for a Malta or Slovenia company with hospitals, universities or public-sector partners.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"NIH SEED SBIR/STTR funding opportunities monitoring","NIH SEED","USA health / US company route","","monitoring",10,"usa, nih, seed, sbir, sttr, health, medtech, small business, monitoring","https://seed.nih.gov/small-business-funding/find-funding/sbir-sttr-funding-opportunities","US health and biomedical small-business funding route through NIH SBIR/STTR. Strong fit for digital health, medtech, biotech, diagnostics, clinical workflow, AI for healthcare and research tools. Requires careful US small-business eligibility, PI role, registrations and NIH-style proposal documents.","2026-07-08 18:10:00Z","2026-07-08 18:10:00Z"
"DOE SBIR/STTR funding opportunities monitoring","DOE SBIR/STTR","USA energy / US company route","","monitoring",10,"usa, doe, sbir, sttr, energy, climate, hard tech, small business, monitoring","https://science.osti.gov/sbir/Funding-Opportunities","US Department of Energy SBIR/STTR route for energy, climate, grid, materials, sensors, industrial AI, manufacturing and science-driven hard tech. Track topic releases, letter-of-intent rules and Phase I proposal windows. Requires US small-business readiness.","2026-07-08 18:10:00Z","2026-07-08 18:10:00Z"
"NSF America's Seed Fund SBIR/STTR monitoring","NSF America's Seed Fund","USA state / US company route","","monitoring",10,"usa, nsf, sbir, sttr, startup, small business, seed funding, deep tech","https://seedfund.nsf.gov/","US National Science Foundation seed funding route for startups building deep technologies for commercial success. The site states it invests up to USD 2 million in non-dilutive seed funding and takes zero equity, across areas including AI, energy, medical devices, robotics and semiconductors. Direct route requires US small-business eligibility, so use for a US entity or US partner path.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"Finest Scaleup - smart cities green and sustainable deep tech","28Digital / EIT Digital","EU-backed scaleup support / continuous","","continuous",10,"28digital, finest scaleup, smart cities, green deep tech, fundraising support, continuous, scaleup","https://28digital.eu/open-innovation-factory","Continuous 28Digital-listed scaleup support route for smart cities, green and sustainable deep-tech solutions, especially linked to the Baltic Sea Region. Useful as a monitoring and partner route for startups seeking investment readiness, ecosystem access and international visibility.","2026-07-08 16:00:00Z","2026-07-08 16:00:00Z"
"Swiss SECO Start-up Fund route","Swiss SECO","Switzerland state / Swiss entity route","","monitoring",10,"switzerland, seco, start-up fund, financing, serbia potential, swiss partner","https://www.seco.admin.ch/seco/en/home/Promotion_Location_Promotion/Export_Promotion/Financing_aspects/Start-up_Fund.html","Swiss state-backed route for Swiss-based investors/companies with projects in emerging and transition economies. More of a financing/loan route than a grant. Relevant if a Swiss entity, investor or partner can be part of a Serbia-facing expansion or joint venture.","2026-07-08 13:00:00Z","2026-07-08 13:00:00Z"
"Sida challenge-fund and private-sector development routes","Sida / Sweden","Sweden state / development and challenge funds","","monitoring",10,"sweden, sida, challenge fund, private sector, sustainability, development impact, sme potential","https://www.sida.se/en/for-partners/private-sector","Swedish development-cooperation route for private-sector partnerships, challenge funds and innovation with development impact. Usually not a simple SME grant and often works through specific calls, implementing partners or Swedish/international consortia. Relevant for projects with strong development, sustainability or inclusion impact.","2026-07-08 13:00:00Z","2026-07-08 13:00:00Z"
"EU Mogucnosti Serbia opportunities portal","EU Mogucnosti","Serbia EU opportunity radar","","monitoring",9,"serbia, eu mogucnosti, eu opportunities, sme, ngo, startup, calls, trainings, info days","https://eumogucnosti.rs/","Monitoring source for EU-related calls, events, info days, trainings and grant opportunities in Serbia. Useful because it aggregates SME, NGO, startup, youth, education, green transition and regional opportunities, including items that may not appear quickly in wider EU searches. Use as weekly Serbia radar alongside Europa.rs, Innovation Fund Serbia and UNDP Serbia.","2026-07-11 11:00:00Z","2026-07-11 11:00:00Z"
"Interregional Innovation Investments I3 monitoring","I3 Instrument","EU interregional innovation investments","","monitoring",9,"i3, interregional innovation investments, smart specialisation, sme, value chain","https://eismea.ec.europa.eu/programmes/interregional-innovation-investments-i3-instrument_en","EU route for interregional innovation investments, value-chain scale-up and smart-specialisation-linked projects. Useful when a Malta or Slovenia company can join regional ecosystems, clusters or demonstration partnerships. Usually a consortium/regional route rather than a simple SME grant.","2026-07-10 07:00:00Z","2026-07-10 07:00:00Z"
"EU TACSO civil society support monitoring","EU TACSO","Western Balkans civil society support","","monitoring",9,"tacso, western balkans, civil society, ngo, capacity building, dissemination","https://tacso.eu/","EU TACSO route for Western Balkans and Turkey civil society support, capacity building, trainings and calls. Useful for the NGO as a civil society partner and for finding CSO networks that can strengthen dissemination, stakeholder engagement and public-benefit IT projects.","2026-07-09 07:00:00Z","2026-07-09 07:00:00Z"
"CERV programme civil society and digital rights monitoring","CERV Programme","EU civil society / rights and values","","monitoring",9,"cerv, civil society, digital rights, ngo, dissemination, civic tech, eu","https://commission.europa.eu/funding-tenders/find-funding/eu-funding-programmes/citizens-equality-rights-and-values-programme_en","EU civil society route for rights, values, participation, equality, democracy and civic engagement. Relevant for the Serbian NGO as partner in digital rights, media literacy, cyber hygiene, digital inclusion, civic tech, outreach and dissemination work packages, depending on country and call eligibility.","2026-07-09 07:00:00Z","2026-07-09 07:00:00Z"
"Erasmus+ organisations and digital skills monitoring","Erasmus+","EU education, youth and digital skills","","monitoring",9,"erasmus, ngo, digital skills, youth, training, dissemination, education","https://erasmus-plus.ec.europa.eu/opportunities/opportunities-for-organisations","EU education and youth route where a Serbian NGO can participate in digital skills, non-formal education, youth, training, inclusion and capacity-building projects. Good for dissemination, workshops, curricula, community training and digital literacy components attached to IT support.","2026-07-09 07:00:00Z","2026-07-09 07:00:00Z"
"AI-on-Demand platform open calls monitoring","AI-on-Demand Platform","EU AI ecosystem and open calls monitoring","","monitoring",9,"ai-on-demand, ai, open calls, sme, experiments, eu ai ecosystem","https://aiod.eu/","EU AI ecosystem route for AI tools, experiments, services, events and potential open calls connected to European AI-on-demand infrastructure. Useful as radar for AI experiments and partner discovery, especially when positioning the product as AI component, AI service or AI adoption pilot.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"EuroHPC AI Factories SME access monitoring","EuroHPC AI Factories","EU AI compute and testing infrastructure","","monitoring",9,"ai factories, eurohpc, ai, compute access, startup, sme, monitoring","https://eurohpc-ju.europa.eu/ai-factories_en","EU AI Factories route for access to AI-optimised supercomputing, support services and AI ecosystem infrastructure. Useful for AI-heavy startups needing compute, model training, validation, benchmarking or links to AI factories rather than a conventional grant.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"Xecs Eureka cluster calls monitoring","Xecs","Eureka electronic components and systems","","monitoring",9,"xecs, eureka cluster, electronic components, edge ai, sensors, systems, sme","https://eureka-xecs.com/call/","Eureka cluster route for electronic components and systems, embedded systems, edge AI, sensors, microelectronics and smart hardware. Heavy consortium route, but relevant if the product moves toward hardware, sensing, semiconductors or electronics-enabled industrial solutions.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"Eurogia Eureka cluster calls monitoring","Eurogia","Eureka low-carbon energy technologies","","monitoring",9,"eurogia, eureka cluster, low carbon, energy, cleantech, sme, consortium","https://eurogia.eu/calls/","Eureka cluster route for low-carbon energy technologies, climate and industrial decarbonisation. Useful for energy software, storage, smart grid, hydrogen, carbon reduction, industrial AI and clean-tech consortia.","2026-07-08 20:00:00Z","2026-07-08 20:00:00Z"
"EUSPA funding opportunities monitoring","EUSPA","EU space downstream innovation","","monitoring",9,"euspa, space, gnss, copernicus, galileo, downstream applications, sme","https://www.euspa.europa.eu/opportunities/funding","EU Agency for the Space Programme route for downstream applications using Galileo, EGNOS, Copernicus and secure connectivity. Relevant for geolocation, logistics, mobility, agriculture, insurance, climate risk, infrastructure monitoring, maritime, aviation, drones and space-data products. Usually EU/Horizon/Digital Europe style calls or prizes.","2026-07-08 19:30:00Z","2026-07-08 19:30:00Z"
"ESA Business Applications funding monitoring","ESA Business Applications","European space-enabled business funding","","monitoring",9,"esa business applications, space, satellite, demonstration, kick-start, funding, sme","https://business.esa.int/funding","European Space Agency route for space-enabled business applications, feasibility studies, kick-start activities and demonstration projects. Useful if the product can use satellite navigation, earth observation, satellite communications or space data for a commercial service. Eligibility depends on ESA member/associate-country and national delegation rules.","2026-07-08 19:30:00Z","2026-07-08 19:30:00Z"
"EIT Manufacturing calls monitoring","EIT Manufacturing","EU-backed manufacturing innovation","","monitoring",9,"eit manufacturing, manufacturing, robotics, industrial ai, startup, sme, calls","https://www.eitmanufacturing.eu/calls/","EIT Manufacturing route for industrial innovation, automation, AI in manufacturing, robotics, resilient production, circular manufacturing, skills and startup acceleration. Useful for SME pilots with factories, equipment providers or manufacturing testbeds.","2026-07-08 19:15:00Z","2026-07-08 19:15:00Z"
"CBE JU calls monitoring","Circular Bio-based Europe JU","EU bio-based industry R&D","","monitoring",9,"cbe ju, bio-based, circular, industry, agrifood, demonstration, sme","https://www.cbe.europa.eu/open-calls-proposals","Circular Bio-based Europe Joint Undertaking route for bio-based industries, circular feedstocks, sustainable materials, industrial biotechnology, rural/agrifood value chains and demonstration projects. Usually consortium-based and industry-facing; useful for Malta/Slovenia entity or Serbia as partner where allowed.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"EuroHPC access and calls monitoring","EuroHPC Joint Undertaking","EU high-performance computing and AI","","monitoring",9,"eurohpc, hpc, ai factories, supercomputing, compute access, digital twins, monitoring","https://eurohpc-ju.europa.eu/access-our-supercomputers/calls_en","European high-performance computing route for access to supercomputers, AI factories, HPC-enabled R&D and industrial experimentation. Useful for AI-heavy companies that need compute access, optimisation, simulation, digital twins or HPC/AI partnerships rather than classic grants.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"European Defence Fund calls monitoring","European Defence Fund","EU defence R&D consortium route","","monitoring",9,"european defence fund, defence, dual-use, cybersecurity, ai, sme, consortium","https://defence-industry-space.ec.europa.eu/eu-defence-industry/european-defence-fund-edf_en","EU defence R&D and capability development route. Potentially relevant for dual-use AI, cybersecurity, sensing, simulation, robotics, secure communications and advanced systems through Malta/Slovenia EU-company participation. Eligibility, security and third-country control rules must be checked very early.","2026-07-08 19:00:00Z","2026-07-08 19:00:00Z"
"NASA SBIR/STTR monitoring","NASA SBIR/STTR","USA space / US company route","","monitoring",9,"usa, nasa, sbir, sttr, space, robotics, sensors, small business, monitoring","https://sbir.nasa.gov/","NASA small-business innovation route for space, aerospace, robotics, autonomy, sensors, advanced materials, climate observation and dual-use technical capabilities. Track annual solicitations and subtopics; direct funding route requires US small-business eligibility.","2026-07-08 18:10:00Z","2026-07-08 18:10:00Z"
"Hong Kong Innovation and Technology Fund monitoring","Hong Kong Innovation and Technology Fund","China / Hong Kong entity route","","monitoring",9,"china, hong kong, innovation and technology fund, enterprise support, startup, funding, monitoring","https://www.itf.gov.hk/en/funding-programmes/index.html","Hong Kong ITF umbrella route for R&D, enterprise support, technology adoption, new industrialisation, talent, startups and accelerator schemes. The page lists Enterprise Support Scheme for Hong Kong-incorporated enterprises, Mainland-Hong Kong cooperation funding, New Industrialisation schemes, Technology Venture Fund and other routes. Use only if a Hong Kong company, accelerator base or Mainland/HK partner is strategically justified.","2026-07-08 17:30:00Z","2026-07-08 17:30:00Z"
"EIT Health Catapult monitoring","EIT Health","EU-backed health startup programme monitoring","","monitoring",9,"eit health, catapult, digital health, medtech, life sciences, startup, monitoring","https://eithealth.eu/programmes/catapult/","Monitoring route for the next EIT Health Catapult application phase. The 2026 page says the application phase is closed, but the programme remains relevant for life sciences, digital health and medtech startups. Past criteria include EU or Horizon Europe associated-country incorporation, micro/small enterprise status, private investment or revenue threshold, and looking for at least EUR 2M funding.","2026-07-08 16:00:00Z","2026-07-08 16:00:00Z"
